Market Return,Strategy Return
11548.0,13611.0
24182.0,29180.0
35108.0,39840.0
46575.0,49009.0
58303.0,62196.0
68863.0,72310.0
80360.0,82915.0
91665.0,95112.0
102690.0,111939.0
114016.0,131296.0
125120.0,142838.0
136498.0,151144.0
146927.0,161854.0
159122.0,174324.0
170555.0,189343.0
182370.0,208726.0
193023.0,232941.0
203873.0,240184.0
214533.0,255987.0
224531.0,264793.0
236532.0,280135.0
247664.0,291747.0
258815.0,302622.0
270530.0,316810.0
281070.0,328615.0
292558.0,339372.0
304172.0,348238.0
315313.0,361118.0
325898.0,369012.0
336530.0,385723.0
347780.0,397771.0
358663.0,420290.0
369223.0,442098.0
381993.0,454263.0
393095.0,465032.0
404878.0,474953.0
417336.0,492445.0
427896.0,503668.0
438357.0,513668.0
450112.0,526279.0
463076.0,538301.0
474454.0,549116.0
486476.0,560596.0
497177.0,570405.0
508709.0,580043.0
519595.0,593533.0
530745.0,604210.0
542624.0,611087.0
553728.0,623365.0
565018.0,635143.0
575709.0,647370.0
587500.0,658874.0
598600.0,669166.0
609270.0,678926.0
620380.0,688854.0
631805.0,703070.0
642655.0,711057.0
654684.0,723297.0
666172.0,740919.0
677412.0,751483.0
689140.0,760688.0
700445.0,770688.0
711549.0,779213.0
723336.0,791338.0
733644.0,802443.0
744300.0,814453.0
754840.0,827296.0
766087.0,837296.0
777188.0,850435.0
788943.0,863921.0
799936.0,874860.0
810810.0,884652.0
822825.0,897624.0
833844.0,909097.0
844142.0,919381.0
855082.0,933292.0
866024.0,943745.0
877335.0,956471.0
887370.0,966574.0
897471.0,976740.0
908678.0,986762.0
920707.0,1000816.0
932055.0,1017358.0
942474.0,1028872.0
953652.0,1037808.0
965531.0,1051498.0
977158.0,1063446.0
988646.0,1073446.0
999639.0,1084989.0
1012244.0,1096694.0
1023315.0,1110173.0
1034605.0,1118077.0
1046575.0,1133167.0
1058935.0,1143362.0
1071021.0,1158019.0
1082125.0,1168812.0
1093306.0,1169734.0
1104812.0,1181605.0
1116777.0,1193036.0
1129987.0,1206753.0
1141647.0,1219119.0
1153681.0,1231409.0
1164668.0,1241485.0
1175994.0,1251485.0
1187672.0,1261508.0
1197884.0,1271352.0
1208745.0,1282425.0
1220601.0,1294122.0
1230876.0,1303975.0
1241869.0,1312973.0
1251889.0,1323398.0
1262549.0,1342535.0
1273322.0,1352535.0
1284280.0,1365421.0
1295888.0,1374466.0
1307279.0,1385823.0
1317910.0,1394638.0
1329188.0,1404432.0
1340488.0,1414934.0
1351150.0,1428171.0
1362440.0,1439394.0
1374195.0,1453134.0
1385700.0,1464021.0
1396372.0,1472331.0
1408140.0,1486868.0
1419354.0,1498189.0
1430151.0,1508403.0
1442535.0,1521658.0
1453359.0,1529910.0
1465222.0,1539960.0
1476019.0,1555826.0
1487644.0,1566190.0
1498086.0,1583321.0
1508934.0,1596380.0
1520045.0,1610692.0
1531402.0,1618606.0
1542793.0,1628333.0
1554822.0,1638249.0
1565336.0,1648424.0
1576769.0,1658381.0
1589180.0,1670318.0
1599881.0,1679444.0
1610634.0,1687815.0
1620628.0,1696146.0
1632560.0,1706847.0
1643704.0,1716847.0
1653499.0,1729210.0
1665050.0,1745337.0
1675701.0,1756901.0
1688194.0,1771931.0
1698494.0,1783572.0
1708794.0,1796664.0
1720086.0,1806265.0
1730823.0,1817478.0
1742431.0,1827048.0
1753087.0,1835072.0
1765257.0,1846059.0
1775790.0,1857137.0
1786720.0,1867340.0
1798599.0,1879577.0
1809749.0,1889233.0
1820599.0,1902988.0
1831529.0,1912042.0
1842105.0,1921721.0
1852707.0,1931888.0
1864321.0,1942924.0
1874621.0,1952686.0
1885579.0,1964690.0
1897370.0,1975207.0
1908692.0,1985137.0
1921250.0,1998737.0
1931840.0,2008735.0
1942769.0,2021138.0
1954805.0,2033230.0
1967244.0,2044360.0
1978600.0,2052902.0
1989701.0,2067277.0
2002911.0,2079514.0
2014201.0,2093259.0
2026080.0,2106009.0
2036364.0,2113638.0
2047147.0,2130488.0
2057190.0,2142327.0
2069235.0,2153815.0
2081055.0,2166510.0
2092095.0,2167402.0
2103810.0,2176496.0
2115325.0,2191735.0
2125996.0,2202672.0
2136324.0,2215671.0
2147676.0,2225671.0
2158780.0,2241991.0
2170568.0,2252862.0
2182050.0,2266788.0
2193828.0,2275832.0
2205316.0,2285795.0
2215791.0,2297014.0
2226953.0,2308936.0
2238279.0,2319777.0
2248661.0,2326496.0
2259644.0,2336947.0
2271128.0,2350280.0
2283991.0,2362347.0
2295046.0,2372480.0
2305766.0,2382480.0
2315933.0,2396152.0
2327225.0,2406740.0
2337897.0,2412498.0
2350426.0,2422726.0
2362810.0,2437263.0
2373865.0,2450052.0
2385213.0,2462217.0
2397242.0,2476003.0
2407215.0,2483714.0
2417868.0,2497387.0
2429596.0,2507601.0
2440338.0,2518185.0
2453112.0,2532186.0
2465746.0,2543912.0
2476336.0,2552915.0
2489574.0,2567329.0
2499946.0,2576918.0
2510293.0,2588653.0
2521201.0,2598683.0
2532956.0,2612171.0
2544488.0,2623396.0
2555590.0,2645692.0
2567579.0,2659257.0
2579962.0,2673338.0
2591315.0,2690363.0
2602693.0,2702207.0
2613320.0,2713227.0
2625753.0,2717258.0
2636195.0,2725865.0
2648396.0,2739119.0
2659116.0,2749119.0
2670331.0,2759119.0
2682059.0,2780047.0
