Market Return,Strategy Return
12112.0,10852.0
23927.0,30235.0
35642.0,44423.0
46419.0,54601.0
57796.0,67660.0
68753.0,98011.0
79853.0,109297.0
91848.0,119938.0
102896.0,127097.0
114444.0,137860.0
126052.0,146905.0
136527.0,156367.0
146973.0,166235.0
156983.0,176235.0
168552.0,189185.0
180019.0,202070.0
191151.0,216444.0
202253.0,226717.0
213804.0,235857.0
225458.0,249627.0
236990.0,258659.0
247580.0,268703.0
258252.0,278547.0
270787.0,289911.0
281836.0,300913.0
293384.0,314109.0
304829.0,324611.0
316584.0,333363.0
326987.0,341158.0
339885.0,352447.0
351868.0,366870.0
363108.0,379055.0
376006.0,392656.0
387660.0,404634.0
398817.0,415269.0
410242.0,430405.0
421717.0,443596.0
433487.0,455174.0
444445.0,467178.0
455927.0,481786.0
468688.0,500194.0
479408.0,510194.0
491748.0,519791.0
503672.0,530921.0
515350.0,540921.0
525650.0,552516.0
537378.0,564179.0
547963.0,576754.0
559842.0,590841.0
570682.0,602325.0
583121.0,614511.0
595516.0,628715.0
605772.0,638715.0
617150.0,649530.0
627947.0,660048.0
639561.0,670046.0
651654.0,680046.0
662637.0,691540.0
674082.0,696610.0
684524.0,710073.0
695486.0,720166.0
707870.0,733405.0
719008.0,743831.0
730736.0,756356.0
742058.0,767650.0
752800.0,776295.0
764974.0,784301.0
775472.0,810015.0
786819.0,818366.0
798636.0,832324.0
809296.0,851461.0
820739.0,863236.0
832530.0,874740.0
843072.0,883122.0
855935.0,895189.0
867713.0,907683.0
878353.0,921741.0
888388.0,933348.0
899570.0,944702.0
910701.0,959419.0
922152.0,971384.0
932150.0,981384.0
944722.0,997295.0
955384.0,1009313.0
966292.0,1019343.0
978062.0,1032782.0
990660.0,1047278.0
1001596.0,1060099.0
1012747.0,1070974.0
1023954.0,1080996.0
1035969.0,1088188.0
1046244.0,1099186.0
1057315.0,1110991.0
1069710.0,1126302.0
1080010.0,1137943.0
1091112.0,1146137.0
1101626.0,1155208.0
1112167.0,1182987.0
1123012.0,1193753.0
1133684.0,1208558.0
1145199.0,1218861.0
1156521.0,1230213.0
1168582.0,1244529.0
1179443.0,1257626.0
1191623.0,1272325.0
1202896.0,1278921.0
1214611.0,1289024.0
1226271.0,1300594.0
1238655.0,1312238.0
1249952.0,1331987.0
1261056.0,1340573.0
1272194.0,1353022.0
1283676.0,1367550.0
1295705.0,1385894.0
1307433.0,1398729.0
1319093.0,1410743.0
1329738.0,1421123.0
1340293.0,1429609.0
1350911.0,1439609.0
1361883.0,1461799.0
1374380.0,1472038.0
1384822.0,1483559.0
1395492.0,1494349.0
1407223.0,1508104.0
1419607.0,1521359.0
1431622.0,1532890.0
1443013.0,1541721.0
1453750.0,1553271.0
1466988.0,1570796.0
1477530.0,1581909.0
1488908.0,1591219.0
1499659.0,1600347.0
1511313.0,1611139.0
1523551.0,1627321.0
1535857.0,1640772.0
1547524.0,1652699.0
1558266.0,1665871.0
1568735.0,1673340.0
1578864.0,1684561.0
1589712.0,1704538.0
1600848.0,1715147.0
1613080.0,1730576.0
1624586.0,1744900.0
1635042.0,1755117.0
1646526.0,1768450.0
1657196.0,1781725.0
1668125.0,1789294.0
1678452.0,1799740.0
1691024.0,1809918.0
1702135.0,1824230.0
1712454.0,1837787.0
1725664.0,1850024.0
1737011.0,1862318.0
1748189.0,1871254.0
1759291.0,1880016.0
1769631.0,1888614.0
1780479.0,1900774.0
1792659.0,1913197.0
1804688.0,1932694.0
1816717.0,1943237.0
1827619.0,1955468.0
1839488.0,1966205.0
1849523.0,1976308.0
1861561.0,1989914.0
1872969.0,1998624.0
1884133.0,2008624.0
1895848.0,2020444.0
1907174.0,2030615.0
1919189.0,2043587.0
1930291.0,2053441.0
1942111.0,2067740.0
1954544.0,2079667.0
1967075.0,2092121.0
1978164.0,2102121.0
1989575.0,2117025.0
2001330.0,2129637.0
2012292.0,2148105.0
2023919.0,2160053.0
2034152.0,2170053.0
2044791.0,2181558.0
2056575.0,2192696.0
2068042.0,2201865.0
2079839.0,2206787.0
2090334.0,2215703.0
2101988.0,2227417.0
2112711.0,2238124.0
2124862.0,2249930.0
2135933.0,2261280.0
2148451.0,2269757.0
2160480.0,2281202.0
2172235.0,2291641.0
2182734.0,2298139.0
2193975.0,2310561.0
2205949.0,2322677.0
2217020.0,2332138.0
2227413.0,2343644.0
2239525.0,2357407.0
2251308.0,2369839.0
2262149.0,2379839.0
2272424.0,2393379.0
2283129.0,2404460.0
2295008.0,2415955.0
2305976.0,2434322.0
2317704.0,2451097.0
2328918.0,2455775.0
2340933.0,2467809.0
2352211.0,2478300.0
2362984.0,2488300.0
2374375.0,2504736.0
2384348.0,2515897.0
2394622.0,2525287.0
2406501.0,2539335.0
2418940.0,2551694.0
2429593.0,2565367.0
2441919.0,2579285.0
2452755.0,2593108.0
2463224.0,2604128.0
2474594.0,2617830.0
2486195.0,2628799.0
2497746.0,2637936.0
2508848.0,2649888.0
2520727.0,2664211.0
2531859.0,2674145.0
2543888.0,2687906.0
2555370.0,2695088.0
2565930.0,2709675.0
2578849.0,2725438.0
2589550.0,2733672.0
2601406.0,2736361.0
2613689.0,2749554.0
2625011.0,2763357.0
2635480.0,2774100.0
2645922.0,2786812.0
2656089.0,2800484.0
2666842.0,2809972.0
2677473.0,2820477.0
2688799.0,2829880.0
2700013.0,2845709.0
2711242.0,2855709.0
2722667.0,2869925.0
2733758.0,2882692.0
2745513.0,2895303.0
